Employee_ID,First_Name,Last_Name,Gender,Date_of_Birth,Age,Join_Date,Tenure_Years,Department,Job_Title,Manager_Name,Location,Country,Salary,Bonus,Total_Compensation,Performance_Rating,Employment_Status,Active_Status
1001,Grace,Lee,Female,16-08-1986,38,19-12-2022,2,Sales,Manager,Robert,New York,UK,7649,1241,93029,1,Part-Time,Inactive
1002,Diana,Williams,Female,18-08-1982,42,07-08-2011,13,IT,Coordinator,Angela,Sydney,Australia,8702,3531,107955,4,Contract,Active
1003,Hank,Lee,Male,15-04-1980,45,01-02-2013,12,Marketing,Analyst,Tom,Bangalore,Canada,5511,2302,68434,1,Contract,Active
1004,Eve,Lewis,Female,26-07-1975,49,04-01-2006,19,Marketing,Analyst,Robert,New York,Australia,7826,1734,95646,1,Full-Time,Active
1005,Grace,Davis,Male,11-05-1994,31,23-06-2006,19,IT,Executive,John,London,UK,4860,3190,61510,1,Full-Time,Active
1006,Jack,Smith,Male,04-01-1997,28,06-01-2013,12,HR,Executive,Angela,New York,UK,5596,2932,70084,4,Full-Time,Inactive
1007,Charlie,Clark,Male,26-02-1998,27,22-07-2011,13,Finance,Analyst,Robert,Bangalore,UK,8084,4981,101989,2,Part-Time,Active
1008,Grace,Clark,Male,25-07-1983,41,01-01-2007,18,Finance,Manager,John,Toronto,Canada,5226,1981,64693,3,Contract,Active
1009,Hank,Williams,Female,24-03-2000,25,16-06-2007,18,Sales,Executive,Priya,New York,Australia,5450,3952,69352,2,Part-Time,Active
1010,Eve,Clark,Male,24-10-1981,43,20-02-2019,6,HR,Executive,Tom,Toronto,Canada,6932,1135,84319,5,Part-Time,Active
1011,Diana,Lewis,Male,08-10-1982,42,21-10-2023,1,Finance,Manager,Tom,New York,UK,6136,1461,75093,2,Contract,Active
1012,Hank,Brown,Male,18-04-1997,28,04-10-2017,7,HR,Coordinator,Tom,New York,Australia,5234,1116,63924,3,Part-Time,Active
1013,Hank,Williams,Female,22-04-1989,36,17-05-2022,3,Marketing,Executive,Robert,Sydney,India,8938,2606,109862,1,Full-Time,Active
1014,Charlie,Lee,Male,03-06-1985,40,27-06-2011,14,Marketing,Coordinator,Priya,Toronto,Canada,9922,4906,123970,2,Part-Time,Active
1015,Frank,Wilson,Male,18-01-1985,40,26-06-2017,8,HR,Manager,Robert,Toronto,India,5604,4427,71675,4,Contract,Active
1016,Eve,Khan,Female,11-06-1972,53,18-01-2019,6,IT,Analyst,Robert,New York,India,9090,4094,113174,5,Full-Time,Active
1017,Bob,Lewis,Female,29-08-1972,52,04-05-2012,13,Finance,Analyst,Priya,Bangalore,USA,5246,2104,65056,1,Part-Time,Active
1018,Hank,Lee,Female,13-04-1970,55,09-07-2011,13,Finance,Coordinator,John,Bangalore,UK,6699,3856,84244,1,Part-Time,Active
1019,Frank,Brown,Female,18-06-1995,30,15-01-2005,20,Marketing,Executive,Angela,Toronto,India,8931,2014,109186,1,Part-Time,Inactive
1020,Bob,Wilson,Female,27-07-1986,38,26-07-2013,11,Sales,Analyst,Tom,Sydney,Canada,7231,2112,88884,2,Full-Time,Active
1021,Eve,Clark,Female,02-02-1984,41,15-09-2008,16,Finance,Manager,Priya,Sydney,UK,7185,3902,90122,4,Full-Time,Active
1022,Alice,Brown,Female,21-11-1978,46,02-08-2013,11,Marketing,Executive,John,Bangalore,UK,6289,4530,79998,3,Full-Time,Active
1023,Jack,Williams,Female,11-01-1986,39,28-03-2011,14,Marketing,Coordinator,Priya,Sydney,Canada,8119,4871,102299,5,Part-Time,Active
1024,Frank,Johnson,Female,01-03-1980,45,11-01-2005,20,HR,Coordinator,Angela,New York,Australia,8402,1884,102708,4,Contract,Inactive
1025,Ivy,Johnson,Male,11-05-1979,46,15-07-2009,15,HR,Coordinator,Priya,New York,Canada,5763,2728,71884,2,Contract,Inactive
1026,Alice,Clark,Female,25-08-1987,37,01-06-2008,17,HR,Coordinator,Priya,Toronto,Australia,9313,2562,114318,5,Contract,Active
1027,Jack,Johnson,Male,31-10-1984,40,13-01-2021,4,Sales,Manager,John,London,UK,9643,3027,118743,4,Contract,Active
1028,Charlie,Johnson,Male,14-05-1981,44,19-07-2009,15,Finance,Analyst,Tom,Bangalore,Canada,7688,3022,95278,3,Part-Time,Active
1029,Grace,Lee,Female,05-11-1987,37,30-10-2009,15,Sales,Coordinator,Tom,Bangalore,India,8503,4801,106837,3,Full-Time,Active
1030,Diana,Lee,Female,08-01-1980,45,26-06-2006,19,Sales,Analyst,John,London,Canada,6680,2855,83015,1,Part-Time,Active
1031,Ivy,Khan,Female,12-12-1994,30,10-03-2009,16,HR,Analyst,John,Sydney,India,5707,2018,70502,1,Full-Time,Active
1032,Charlie,Davis,Female,21-07-1990,34,02-04-2023,2,Marketing,Coordinator,Robert,New York,India,8396,1584,102336,3,Part-Time,Inactive
1033,Eve,Clark,Male,19-06-1982,43,26-12-2020,4,IT,Executive,Robert,New York,UK,4184,2501,52709,1,Part-Time,Active
1034,Charlie,Johnson,Male,14-07-1985,39,03-12-2023,1,Marketing,Coordinator,Angela,Bangalore,Australia,8729,3370,108118,1,Full-Time,Active
1035,Grace,Khan,Female,28-11-1975,49,26-03-2008,17,Marketing,Manager,Robert,Bangalore,Australia,5297,4946,68510,3,Full-Time,Active
1036,Eve,Clark,Male,05-08-1971,53,12-05-2012,13,Marketing,Executive,Robert,Sydney,India,9523,2502,116778,5,Part-Time,Inactive
1037,Ivy,Johnson,Female,06-03-1972,53,02-03-2012,13,Marketing,Coordinator,Priya,Sydney,Australia,4796,2716,60268,3,Full-Time,Inactive
1038,Grace,Lewis,Male,27-02-1975,50,06-12-2022,2,Sales,Analyst,Priya,Bangalore,Canada,5099,4593,65781,1,Full-Time,Inactive
1039,Bob,Smith,Male,20-07-1986,38,10-02-2020,5,HR,Analyst,John,Sydney,India,9310,2074,113794,5,Part-Time,Active
1040,Diana,Lewis,Female,24-08-1994,30,17-07-2012,12,HR,Executive,Tom,London,India,5185,2695,64915,1,Contract,Active
1041,Ivy,Wilson,Female,17-06-2000,25,18-07-2007,17,Marketing,Manager,Angela,New York,USA,7651,4264,96076,2,Part-Time,Inactive
1042,Bob,Clark,Male,17-04-1984,41,27-11-2008,16,IT,Analyst,Robert,Bangalore,Canada,4772,3605,60869,1,Part-Time,Inactive
1043,Jack,Davis,Female,07-08-2000,24,08-01-2015,10,Finance,Manager,Priya,London,Australia,7573,3759,94635,4,Part-Time,Active
1044,Ivy,Wilson,Male,27-07-1971,53,06-04-2019,6,Marketing,Analyst,Tom,London,Australia,8425,1102,102202,4,Part-Time,Active
1045,Jack,Khan,Female,21-04-1973,52,22-05-2021,4,Marketing,Executive,Robert,Toronto,USA,7989,2673,98541,1,Contract,Active
1046,Eve,Khan,Female,08-06-1978,47,12-06-2023,2,IT,Coordinator,Tom,Bangalore,Canada,6680,2879,83039,1,Full-Time,Active
1047,Bob,Johnson,Female,26-09-1976,48,12-02-2011,14,Sales,Analyst,Priya,Toronto,UK,9309,2259,113967,2,Contract,Inactive
1048,Diana,Wilson,Female,13-03-1997,28,15-09-2015,9,Marketing,Executive,John,London,UK,4384,1338,53946,5,Full-Time,Inactive
1049,Grace,Johnson,Female,19-12-1980,44,31-08-2018,6,IT,Executive,Robert,Bangalore,Canada,8212,4261,102805,5,Contract,Active
1050,Hank,Clark,Female,27-06-1983,42,14-01-2022,3,Sales,Coordinator,Robert,Toronto,Australia,7275,4188,91488,2,Part-Time,Active
1051,Charlie,Khan,Female,26-02-1977,48,21-03-2022,3,Sales,Coordinator,Angela,New York,UK,5796,3118,72670,3,Contract,Active
1052,Alice,Smith,Male,12-09-1974,50,24-08-2010,14,Marketing,Executive,Robert,Bangalore,UK,9039,4016,112484,1,Contract,Active
1053,Diana,Khan,Female,12-05-1984,41,29-09-2020,4,Sales,Analyst,Priya,Toronto,Australia,4072,1821,50685,1,Part-Time,Active
1054,Bob,Lee,Male,19-04-1974,51,21-03-2016,9,Marketing,Manager,Tom,Sydney,Canada,7378,1991,90527,4,Contract,Active
1055,Hank,Brown,Female,08-11-1971,53,08-01-2012,13,Marketing,Manager,Tom,Bangalore,USA,4848,4794,62970,4,Full-Time,Active
1056,Diana,Davis,Male,13-06-1997,28,04-09-2012,12,HR,Coordinator,John,Sydney,Canada,5692,2958,71262,3,Part-Time,Active
1057,Bob,Wilson,Female,18-11-1976,48,01-01-2022,3,Finance,Analyst,John,Bangalore,USA,9942,2820,122124,5,Full-Time,Inactive
1058,Frank,Johnson,Female,15-08-1994,30,13-04-2011,14,Finance,Executive,Priya,Toronto,Canada,5961,4343,75875,5,Full-Time,Inactive
1059,Frank,Brown,Male,22-07-1995,29,14-06-2009,16,HR,Manager,Tom,Toronto,UK,7664,4302,96270,5,Part-Time,Active
1060,Jack,Brown,Female,11-05-1978,47,27-11-2020,4,Marketing,Manager,John,Bangalore,India,8941,2963,110255,1,Full-Time,Active
1061,Diana,Lewis,Female,25-07-1975,49,26-07-2006,18,IT,Analyst,John,London,India,9366,4522,116914,4,Full-Time,Active
1062,Frank,Williams,Female,17-02-1974,51,29-05-2017,8,Sales,Executive,Angela,Toronto,Australia,8206,2732,101204,1,Part-Time,Inactive
1063,Bob,Lewis,Female,21-06-1995,30,29-07-2011,13,HR,Coordinator,Angela,Bangalore,Canada,9117,4525,113929,3,Part-Time,Active
1064,Jack,Lewis,Female,08-11-1981,43,08-09-2009,15,HR,Manager,Priya,Bangalore,Canada,6491,2808,80700,2,Contract,Inactive
1065,Bob,Davis,Male,01-07-1972,53,06-09-2023,1,HR,Analyst,Priya,New York,Australia,7186,4792,91024,2,Part-Time,Active
1066,Jack,Lee,Female,10-05-1984,41,18-01-2006,19,HR,Coordinator,Priya,Sydney,Australia,9158,2577,112473,5,Contract,Inactive
1067,Diana,Khan,Male,28-07-1984,40,17-12-2020,4,Finance,Analyst,Priya,New York,USA,5263,4167,67323,4,Part-Time,Active
1068,Hank,Lewis,Male,21-11-1972,52,20-12-2007,17,Marketing,Executive,Tom,Sydney,USA,4211,4574,55106,3,Full-Time,Active
1069,Grace,Clark,Male,22-11-1990,34,04-05-2010,15,HR,Analyst,Robert,Sydney,India,7336,4830,92862,1,Full-Time,Active
